"Code","NUTS2","NUTS2_Name","COUNTRY","LF_113- GDP","LF_113 - GDP/capita","LF_211 - Recreational opportunities potential","LF_311 - Water consumption","LF_312 - Water productivity","LF_321 - Food and feed production","LF_331 - Biomass harvested from energy crops","LF_332 - Energy content of dedicated energy crops","LF_411 - Share  of residential areas over the total land area","LF_412 - Residential areas per person","LF_413 - Urban Sprawl","LF_415 - Population density","LF_421 - Share of industrial/commercial areas","LF_422 - Industrial economic output per unit of industrial/commercial area","LF_431 - Share of built-up areas over the total land","LF_432 - Productivity of built-up areas","LF_433 - Built-up  per person","LF_441 - Potential accessibility","LF_442 - Network efficiency","LF_443 - Local accessibility (Travel time to nearest city)","LF_444 - Daily accessibility (Amount of people reached within 4 hours)","LF_511- NO2 removal by urban vegetation","LF_521 - Capacity of ecosystems to avoid soil erosion","LF_522 - Soil retention","LF_524 - Water Retention","LF_531 - Relative pollination potential","LF_532 - C-stock changes","LF_612a - Habitat quality for common birds","LF_612b - Habitat quality for forest birds","LF_612c - Habitat quality for farmland birds","LF_621 - Proportion of Green Infrastructure","LF_622 - Green Infrastructure fragmentation","Year","POPULATION"
"87","BE24","Prov. Vlaams-Brabant","Belgium",102.33,146.92,55.18,96.19,103.8,205.43,NA,NA,339.31,137.37,120.02,124.44,216.93,124.78,188.18,95.66,128.25,236.77,110.77,131.34,249.29,87.84,101.77,97.72,102.39,36.78,100,72.63,85.13,46.59,30.38,120.09,2010,1078324
"95","BE25","Prov. West-Vlaanderen","Belgium",101.66,128.72,51.36,100.7,100.15,294.57,NA,NA,220.34,123.92,116.52,117.55,185.03,82.16,164.55,89.58,118.42,199.66,111.22,124.8,242.11,54.77,101.77,93.78,105.65,12.98,100,69.63,47.42,80.26,23.3,120.03,2010,1160731
"97","BE31","Prov. Brabant Wallon","Belgium",91.61,138.07,44.32,88.08,105.91,201.09,NA,NA,247.57,146.72,120.9,116.63,133.99,120.65,170.14,81.99,139.91,231.67,111.21,130.07,248.74,74.98,101.66,99.71,100.88,30.29,100,80.34,76.58,76.28,24.14,122.04,2010,381582
"103","BE32","Prov. Hainaut","Belgium",99.43,89.51,79.54,101.15,98.85,242.39,NA,NA,212.97,127.43,118.05,116.63,153.13,68.46,161.53,62.25,119.79,208.56,110.81,130.13,245.47,64.87,101.56,98.82,94.11,30.29,100,94.37,84.06,97.26,44.53,105.46,2010,1313354
"106","BE33","Prov. Liege","Belgium",98.76,102.61,100.37,102.27,97.73,172.83,NA,NA,179.51,133.27,116.95,112.04,153.13,68.46,154.94,66.81,128.48,215.14,110.8,148.77,246.35,118.1,102.51,102.67,94.36,62.74,100,80.12,94.63,57.52,115.27,99.07,2010,1069959
"112","BE34","Prov. Luxembourg (BE)","Belgium",84.46,92.64,150.85,95.07,97.77,161.96,NA,NA,70.47,239.95,121.99,82.19,25.52,67.69,89.94,36.44,207.8,172.22,109.59,161.56,234.42,128.45,102.09,102.94,81.81,80.05,100,125.43,151.35,101.34,169.78,98.71,2010,269857
"116","BE35","Prov. Namur","Belgium",90.27,97.05,83.94,94.28,100.61,138.04,NA,NA,118.82,190.27,123.09,96.89,70.18,71.3,128.68,45.55,179.23,187.98,109.82,141.76,234.4,100.13,100.6,102.56,93.1,60.58,100,129.93,143.45,109.18,116.1,99.73,2010,473414
"125","BG","BULGARIA (CNT)","Bulgaria",8.26,20.52,113.87,101.99,49.06,23.86,NA,NA,74.3,139.78,110.02,48.7,100,9.42,65.12,12.89,139.67,37.52,97.3,40.72,43.48,62.28,98.61,55.2,96.53,104.63,100,112.29,126.81,109.85,100.94,4.11,2010,8849533
"126","BG0","BULGARIA","Bulgaria",82.15,17.72,110.55,101.2,92.2,18.48,NA,NA,50.52,165.62,112.1,83.34,59.55,6.8,84.42,11.13,167.26,25.14,93.21,30.21,29.91,61.24,97.61,101.33,97.12,117.91,100,118.54,128.97,119.43,112.88,91.89,2010,7563710
"133","BG31","Severozapaden","Bulgaria",76.64,12.47,101.25,99.01,91.73,17.39,NA,NA,52.32,228.55,116.3,76.68,63.8,2.84,89.94,4.56,233.18,27.73,93.72,41.82,33.34,48.23,97.31,101.54,102.39,116.83,100,112.47,87.69,134.79,94.26,93.98,2010,900933
